,File name,Net string,Traces
0,BPI Challenge 2017 - Offer log.e3cd4cc1-67b9-4458-ba71-b83f0365df2a.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Returned'), (n5, 'O_Sent (mail and online)'), (n6, 'O_Create Offer'), (n7, 'O_Created') ]
arcs: [ (n5, 'O_Sent (mail and online)')->n1, (n6, 'O_Create Offer')->n2, (n6, 'O_Create Offer')->n3, n1->(n4, 'O_Returned'), n2->(n7, 'O_Created'), n3->(n5, 'O_Sent (mail and online)') ], [], [])","[['O_Create Offer', 'O_Sent (mail and online)', 'O_Created', 'O_Returned'], ['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned'], ['O_Create Offer', 'O_Sent (mail and online)', 'O_Returned', 'O_Created']]"
1,BPI Challenge 2017 - Offer log.be4ff4ed-9711-4a1e-8886-62276164dc92.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Sent (mail and online)'), (n5, 'O_Create Offer'), (n6, 'O_Created'), (n7, 'O_Accepted') ]
arcs: [ (n4, 'O_Sent (mail and online)')->n2, (n5, 'O_Create Offer')->n3, (n6, 'O_Created')->n1, n1->(n4, 'O_Sent (mail and online)'), n2->(n7, 'O_Accepted'), n3->(n4, 'O_Sent (mail and online)') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Accepted'], ['O_Created', 'O_Create Offer', 'O_Sent (mail and online)', 'O_Accepted']]"
2,BPI Challenge 2017 - Offer log.c445732c-73e5-4c06-8967-63229a977adb.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Sent (mail and online)'), (n6, 'O_Create Offer'), (n7, 'O_Refused'), (n8, 'O_Created') ]
arcs: [ (n5, 'O_Sent (mail and online)')->n3, (n6, 'O_Create Offer')->n2, (n6, 'O_Create Offer')->n4, (n8, 'O_Created')->n1, n1->(n5, 'O_Sent (mail and online)'), n2->(n8, 'O_Created'), n3->(n7, 'O_Refused'), n4->(n5, 'O_Sent (mail and online)') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Refused']]"
3,BPI Challenge 2017 - Offer log.2a5e2623-9fa9-4d4d-866d-3484b6cb26b2.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Sent (mail and online)'), (n5, 'O_Create Offer'), (n6, 'O_Created'), (n7, 'O_Cancelled') ]
arcs: [ (n4, 'O_Sent (mail and online)')->n2, (n5, 'O_Create Offer')->n3, (n6, 'O_Created')->n1, n1->(n4, 'O_Sent (mail and online)'), n2->(n7, 'O_Cancelled'), n3->(n6, 'O_Created') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Cancelled']]"
4,BPI Challenge 2017 - Offer log.81e66016-3623-459d-86be-9250e12dc569.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Created'), (n9, 'O_Accepted') ]
arcs: [ (n5, 'O_Returned')->n4, (n6, 'O_Sent (mail and online)')->n2, (n7, 'O_Create Offer')->n3, (n8, 'O_Created')->n1, n1->(n6, 'O_Sent (mail and online)'), n2->(n9, 'O_Accepted'), n3->(n5, 'O_Returned'), n4->(n9, 'O_Accepted') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted'], ['O_Created', 'O_Sent (mail and online)', 'O_Create Offer', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Returned', 'O_Sent (mail and online)', 'O_Accepted'], ['O_Created', 'O_Create Offer', 'O_Returned', 'O_Sent (mail and online)', 'O_Accepted'], ['O_Created', 'O_Create Offer', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Returned', 'O_Created', 'O_Sent (mail and online)', 'O_Accepted']]"
5,BPI Challenge 2017 - Offer log.fdca7b97-bacd-4754-b7d9-132731ffb4c1.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Returned'), (n5, 'O_Create Offer'), (n6, 'O_Created'), (n7, 'O_Accepted') ]
arcs: [ (n5, 'O_Create Offer')->n2, (n5, 'O_Create Offer')->n3, (n6, 'O_Created')->n1, n1->(n4, 'O_Returned'), n2->(n6, 'O_Created'), n3->(n7, 'O_Accepted') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Returned', 'O_Accepted'], ['O_Create Offer', 'O_Created', 'O_Accepted', 'O_Returned'], ['O_Create Offer', 'O_Accepted', 'O_Created', 'O_Returned']]"
6,BPI Challenge 2017 - Offer log.bcc2a9df-cf00-48a9-94e0-fb1c2157aa0e.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Accepted') ]
arcs: [ (n5, 'O_Returned')->n3, (n6, 'O_Sent (mail and online)')->n1, (n6, 'O_Sent (mail and online)')->n2, (n7, 'O_Create Offer')->n4, n1->(n5, 'O_Returned'), n2->(n8, 'O_Accepted'), n3->(n8, 'O_Accepted'), n4->(n6, 'O_Sent (mail and online)') ], [], [])","[['O_Create Offer', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted']]"
7,BPI Challenge 2017 - Offer log.da249543-43c1-422a-88bf-ddbb69940201.pnml,"(places: [ n1, n2, n3, n4 ]
transitions: [ (n5, 'O_Returned'), (n6, 'O_Sent (mail and online)'), (n7, 'O_Create Offer'), (n8, 'O_Created'), (n9, 'O_Accepted') ]
arcs: [ (n5, 'O_Returned')->n4, (n6, 'O_Sent (mail and online)')->n2, (n7, 'O_Create Offer')->n3, (n8, 'O_Created')->n1, n1->(n6, 'O_Sent (mail and online)'), n2->(n5, 'O_Returned'), n3->(n8, 'O_Created'), n4->(n9, 'O_Accepted') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted']]"
8,BPI Challenge 2017 - Offer log.2ccbcb3b-72f4-4c8f-b2f6-6e191e10157b.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_Returned'), (n5, 'O_Sent (mail and online)'), (n6, 'O_Created'), (n7, 'O_Accepted') ]
arcs: [ (n4, 'O_Returned')->n3, (n5, 'O_Sent (mail and online)')->n2, (n6, 'O_Created')->n1, n1->(n4, 'O_Returned'), n2->(n4, 'O_Returned'), n3->(n7, 'O_Accepted') ], [], [])","[['O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted'], ['O_Sent (mail and online)', 'O_Created', 'O_Returned', 'O_Accepted']]"
9,BPI Challenge 2017 - Offer log.a71bba68-ac51-4ef1-b407-7f9f2ef4e348.pnml,"(places: [ n1, n2, n3, n4, n5 ]
transitions: [ (n10, 'O_Accepted'), (n6, 'O_Returned'), (n7, 'O_Sent (mail and online)'), (n8, 'O_Create Offer'), (n9, 'O_Created') ]
arcs: [ (n6, 'O_Returned')->n5, (n7, 'O_Sent (mail and online)')->n2, (n7, 'O_Sent (mail and online)')->n3, (n8, 'O_Create Offer')->n4, (n9, 'O_Created')->n1, n1->(n7, 'O_Sent (mail and online)'), n2->(n6, 'O_Returned'), n3->(n10, 'O_Accepted'), n4->(n9, 'O_Created'), n5->(n10, 'O_Accepted') ], [], [])","[['O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Returned', 'O_Accepted']]"
