,File name,Net string,Traces
0,BPI_Challenge_2012.b7117f80-cb38-490a-92cf-83844582f96f.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_SENT_BACK'), (n5, 'W_Valideren aanvraag'), (n6, 'A_APPROVED'), (n7, 'W_Nabellen offertes') ]
arcs: [ (n4, 'O_SENT_BACK')->n1, (n5, 'W_Valideren aanvraag')->n2, (n7, 'W_Nabellen offertes')->n3, n1->(n7, 'W_Nabellen offertes'), n2->(n6, 'A_APPROVED'), n3->(n6, 'A_APPROVED') ], [], [])","[['W_Valideren aanvraag', 'O_SENT_BACK', 'W_Nabellen offertes', 'A_APPROVED'], ['O_SENT_BACK', 'W_Valideren aanvraag', 'W_Nabellen offertes', 'A_APPROVED'], ['O_SENT_BACK', 'W_Nabellen offertes', 'W_Valideren aanvraag', 'A_APPROVED']]"
1,BPI_Challenge_2012.dc0aa59e-61bf-411b-8567-a3b26c3592a7.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'A_CANCELLED'), (n5, 'O_SELECTED'), (n6, 'O_SENT'), (n7, 'O_CREATED') ]
arcs: [ (n5, 'O_SELECTED')->n3, (n6, 'O_SENT')->n1, (n7, 'O_CREATED')->n2, n1->(n4, 'A_CANCELLED'), n2->(n6, 'O_SENT'), n3->(n6, 'O_SENT') ], [], [])","[['O_SELECTED', 'O_CREATED', 'O_SENT', 'A_CANCELLED'], ['O_CREATED', 'O_SELECTED', 'O_SENT', 'A_CANCELLED']]"
2,BPI_Challenge_2012.08db9bfd-b112-4197-92ad-150d2f30c6e2.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_SENT'), (n5, 'A_ACTIVATED'), (n6, 'W_Nabellen incomplete dossiers'), (n7, 'O_CREATED') ]
arcs: [ (n6, 'W_Nabellen incomplete dossiers')->n1, (n7, 'O_CREATED')->n2, (n7, 'O_CREATED')->n3, n1->(n5, 'A_ACTIVATED'), n2->(n4, 'O_SENT'), n3->(n6, 'W_Nabellen incomplete dossiers') ], [], [])","[['O_CREATED', 'W_Nabellen incomplete dossiers', 'A_ACTIVATED', 'O_SENT'], ['O_CREATED', 'O_SENT', 'W_Nabellen incomplete dossiers', 'A_ACTIVATED'], ['O_CREATED', 'W_Nabellen incomplete dossiers', 'O_SENT', 'A_ACTIVATED']]"
3,BPI_Challenge_2012.b90f09a3-c8b8-4afc-a379-1f7bd06f6972.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'A_CANCELLED'), (n5, 'O_SELECTED'), (n6, 'O_SENT'), (n7, 'O_CREATED') ]
arcs: [ (n5, 'O_SELECTED')->n3, (n6, 'O_SENT')->n1, (n7, 'O_CREATED')->n2, n1->(n4, 'A_CANCELLED'), n2->(n6, 'O_SENT'), n3->(n4, 'A_CANCELLED') ], [], [])","[['O_CREATED', 'O_SENT', 'O_SELECTED', 'A_CANCELLED'], ['O_CREATED', 'O_SELECTED', 'O_SENT', 'A_CANCELLED'], ['O_SELECTED', 'O_CREATED', 'O_SENT', 'A_CANCELLED']]"
4,BPI_Challenge_2012.e7cb3bd3-ae71-4082-866c-b57882a73b73.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'A_CANCELLED'), (n5, 'O_CANCELLED'), (n6, 'O_SENT'), (n7, 'O_CREATED') ]
arcs: [ (n6, 'O_SENT')->n1, (n6, 'O_SENT')->n2, (n7, 'O_CREATED')->n3, n1->(n4, 'A_CANCELLED'), n2->(n5, 'O_CANCELLED'), n3->(n6, 'O_SENT') ], [], [])","[['O_CREATED', 'O_SENT', 'O_CANCELLED', 'A_CANCELLED'], ['O_CREATED', 'O_SENT', 'A_CANCELLED', 'O_CANCELLED']]"
5,BPI_Challenge_2012.3226b1bc-bf69-4279-8d3f-3da3e311d875.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_SENT_BACK'), (n5, 'W_Valideren aanvraag'), (n6, 'W_Beoordelen fraude'), (n7, 'W_Nabellen offertes') ]
arcs: [ (n4, 'O_SENT_BACK')->n1, (n4, 'O_SENT_BACK')->n2, (n6, 'W_Beoordelen fraude')->n3, n1->(n6, 'W_Beoordelen fraude'), n2->(n7, 'W_Nabellen offertes'), n3->(n5, 'W_Valideren aanvraag') ], [], [])","[['O_SENT_BACK', 'W_Nabellen offertes', 'W_Beoordelen fraude', 'W_Valideren aanvraag'], ['O_SENT_BACK', 'W_Beoordelen fraude', 'W_Nabellen offertes', 'W_Valideren aanvraag'], ['O_SENT_BACK', 'W_Beoordelen fraude', 'W_Valideren aanvraag', 'W_Nabellen offertes']]"
6,BPI_Challenge_2012.580b0ccb-a018-4472-80dd-a44e8d49537c.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_SELECTED'), (n5, 'O_CANCELLED'), (n6, 'O_SENT'), (n7, 'W_Wijzigen contractgegevens') ]
arcs: [ (n5, 'O_CANCELLED')->n3, (n7, 'W_Wijzigen contractgegevens')->n1, (n7, 'W_Wijzigen contractgegevens')->n2, n1->(n4, 'O_SELECTED'), n2->(n5, 'O_CANCELLED'), n3->(n6, 'O_SENT') ], [], [])","[['W_Wijzigen contractgegevens', 'O_CANCELLED', 'O_SELECTED', 'O_SENT'], ['W_Wijzigen contractgegevens', 'O_CANCELLED', 'O_SENT', 'O_SELECTED'], ['W_Wijzigen contractgegevens', 'O_SELECTED', 'O_CANCELLED', 'O_SENT']]"
7,BPI_Challenge_2012.2d68ed30-cf88-49c7-879c-4571858a1c13.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'W_Valideren aanvraag'), (n5, 'A_ACTIVATED'), (n6, 'W_Nabellen incomplete dossiers'), (n7, 'O_CREATED') ]
arcs: [ (n6, 'W_Nabellen incomplete dossiers')->n1, (n7, 'O_CREATED')->n2, (n7, 'O_CREATED')->n3, n1->(n5, 'A_ACTIVATED'), n2->(n4, 'W_Valideren aanvraag'), n3->(n6, 'W_Nabellen incomplete dossiers') ], [], [])","[['O_CREATED', 'W_Valideren aanvraag', 'W_Nabellen incomplete dossiers', 'A_ACTIVATED'], ['O_CREATED', 'W_Nabellen incomplete dossiers', 'W_Valideren aanvraag', 'A_ACTIVATED'], ['O_CREATED', 'W_Nabellen incomplete dossiers', 'A_ACTIVATED', 'W_Valideren aanvraag']]"
8,BPI_Challenge_2012.f0bf0a5d-1dfa-4880-a132-0be5f80354cf.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_SELECTED'), (n5, 'O_CANCELLED'), (n6, 'O_SENT'), (n7, 'O_CREATED') ]
arcs: [ (n4, 'O_SELECTED')->n3, (n6, 'O_SENT')->n1, (n7, 'O_CREATED')->n2, n1->(n5, 'O_CANCELLED'), n2->(n6, 'O_SENT'), n3->(n6, 'O_SENT') ], [], [])","[['O_CREATED', 'O_SELECTED', 'O_SENT', 'O_CANCELLED'], ['O_SELECTED', 'O_CREATED', 'O_SENT', 'O_CANCELLED']]"
9,BPI_Challenge_2012.a90ce7e4-81e1-4089-a259-d8b411318672.pnml,"(places: [ n1, n2, n3 ]
transitions: [ (n4, 'O_ACCEPTED'), (n5, 'O_CANCELLED'), (n6, 'O_SENT'), (n7, 'O_CREATED') ]
arcs: [ (n5, 'O_CANCELLED')->n3, (n6, 'O_SENT')->n2, (n7, 'O_CREATED')->n1, n1->(n4, 'O_ACCEPTED'), n2->(n4, 'O_ACCEPTED'), n3->(n6, 'O_SENT') ], [], [])","[['O_CREATED', 'O_CANCELLED', 'O_SENT', 'O_ACCEPTED'], ['O_CANCELLED', 'O_SENT', 'O_CREATED', 'O_ACCEPTED'], ['O_CANCELLED', 'O_CREATED', 'O_SENT', 'O_ACCEPTED']]"
